map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
26,4902505577,Pan American Oil,1 Govt.,42.830384,-106.713125,33N,82W,18,se ne,Sixth Principal,"5,680",KB,WRB-2018-65,470,480,Mowry,0.58,429,0.33,4.28,4.61,0.61,0.07,7,2.36,2.43,181,26,14,E181014-023
26,4902505577,Pan American Oil,1 Govt.,42.830384,-106.713125,33N,82W,18,se ne,Sixth Principal,"5,680",KB,WRB-2018-66,510,520,Mowry,4.17,419,0.77,14.93,15.70,0.97,0.05,15,4.04,4.54,369,24,19,E181014-024
26,4902505577,Pan American Oil,1 Govt.,42.830384,-106.713125,33N,82W,18,se ne,Sixth Principal,"5,680",KB,WRB-2018-67,600,610,Mowry,2.00,422,0.64,8.77,9.41,0.73,0.07,12,2.96,3.20,296,25,22,E181014-025
27,4902505477,The Texas Co.,1 Sprague,42.75701,-106.5675,32N,81W,8,sw ne,Sixth Principal,"5,458",KB,WRB-2018-68,915,920,Mowry,2.00,431,0.3,4.20,4.50,0.74,0.07,6,2.61,2.85,161,28,11,E181014-026
27,4902505477,The Texas Co.,1 Sprague,42.75701,-106.5675,32N,81W,8,sw ne,Sixth Principal,"5,458",KB,WRB-2018-69,975,985,Mowry,4.00,427,0.39,6.38,6.77,1.14,0.06,6,3.19,3.67,200,36,12,E181014-027
28,4902505548,Far West Oil,Morton-Govt-1,42.816576,-106.681759,33N,82W,21,se nw,Sixth Principal,"5,643",KB,WRB-2018-70,910,920,Mowry,1.83,428,0.3,5.22,5.52,0.44,0.05,12,2.10,2.32,249,21,14,E181014-028
28,4902505548,Far West Oil,Morton-Govt-1,42.816576,-106.681759,33N,82W,21,se nw,Sixth Principal,"5,643",KB,WRB-2018-71,980,990,Mowry,4.41,420,0.46,13.76,14.22,0.73,0.03,19,3.88,4.41,355,19,12,E181014-029
28,4902505548,Far West Oil,Morton-Govt-1,42.816576,-106.681759,33N,82W,21,se nw,Sixth Principal,"5,643",KB,WRB-2018-72,"1,020","1,030",Mowry,3.08,422,0.43,9.30,9.73,0.61,0.04,15,2.80,3.17,332,22,15,E181014-030
28,4902505548,Far West Oil,Morton-Govt-1,42.816576,-106.681759,33N,82W,21,se nw,Sixth Principal,"5,643",KB,WRB-2018-73,"1,060","1,070",Mowry,3.58,424,0.4,7.15,7.55,0.71,0.05,10,2.82,3.25,254,25,14,E181014-031
28,4902505548,Far West Oil,Morton-Govt-1,42.816576,-106.681759,33N,82W,21,se nw,Sixth Principal,"5,643",KB,WRB-2018-74,"1,230","1,240",Thermopolis,6.33,438,0.17,1.89,2.06,0.45,0.08,4,1.25,2.01,151,36,14,E181014-032
29,4902505842,Davis Oil Co.,Federal-Irvine-1,42.92539,-106.83139,34N,83W,7,se se,Sixth Principal,"6,103",KB,WRB-2018-75,430,440,Mowry,0.67,426,0.36,6.72,7.08,0.67,0.05,10,3.04,3.12,221,22,12,E181014-033
29,4902505842,Davis Oil Co.,Federal-Irvine-1,42.92539,-106.83139,34N,83W,7,se se,Sixth Principal,"6,103",KB,WRB-2018-76,520,540,Mowry,1.83,428,0.28,3.29,3.57,0.71,0.08,5,2.19,2.41,150,32,13,E181014-034
29,4902505842,Davis Oil Co.,Federal-Irvine-1,42.92539,-106.83139,34N,83W,7,se se,Sixth Principal,"6,103",KB,WRB-2018-77,580,590,Shell Creek,2.42,430,0.24,2.34,2.58,0.67,0.09,3,1.89,2.18,124,35,13,E181014-035
29,4902505842,Davis Oil Co.,Federal-Irvine-1,42.92539,-106.83139,34N,83W,7,se se,Sixth Principal,"6,103",KB,WRB-2018-78,700,710,Thermopolis,9.91,435,0.13,0.25,0.38,0.61,0.34,0,1.03,2.22,24,59,13,E181014-036
30,4902505657,Argo Oil Corp.,1 Jacobs,42.843959,-106.721318,33N,82W,7,se nw,Sixth Principal,"5,891",KB,WRB-2018-79,650,670,Mowry,2.25,428,0.37,7.41,7.78,0.74,0.05,10,2.64,2.91,281,28,14,E181014-037
